SU,strata,NS,Lat,EW,Lon
760,4,N,13.47732,E,36.02713
771,4,N,13.12456,E,34.87860
772,4,N,13.12605,E,35.26204
773,4,N,13.12760,E,35.64549
774,4,N,13.12920,E,36.02893
789,4,N,12.78002,E,35.64722
790,4,N,12.78162,E,36.03073
1020,5,N,13.81851,E,34.10873
1024,5,N,12.77848,E,35.26372
147,2,N,16.28021,E,35.24699
234,3,N,15.93213,E,36.39749
235,3,N,15.93386,E,36.78043
286,3,N,14.87713,E,36.40307
455,4,N,14.70100,E,36.21242
459,4,N,14.35089,E,36.21425
727,4,N,14.52504,E,36.02173
728,4,N,14.52671,E,36.40493
1018,5,N,15.57652,E,35.63334
110,2,N,19.13299,E,35.99842
113,2,N,18.41950,E,36.76701
114,2,N,18.42320,E,37.53202
116,2,N,17.69900,E,35.24032
120,2,N,17.71327,E,38.30136
171,2,N,19.49801,E,37.14359
173,2,N,18.77582,E,36.38265
211,2,N,15.91574,E,31.80214
268,3,N,14.85275,E,27.20782
269,3,N,14.85352,E,27.97409
272,3,N,14.85511,E,29.12351
300,3,N,14.50273,E,27.59138
301,3,N,14.50314,E,27.97458
302,3,N,14.50362,E,28.35778
307,3,N,14.50683,E,30.27378
309,3,N,14.50852,E,31.04018
329,3,N,14.15259,E,27.20854
330,3,N,14.15295,E,27.59180
331,3,N,14.15336,E,27.97506
332,3,N,14.15383,E,28.35833
333,3,N,14.15436,E,28.74159
334,3,N,14.15494,E,29.12485
337,3,N,14.15704,E,30.27464
357,3,N,13.80574,E,29.12553
358,3,N,13.80638,E,29.50885
359,3,N,13.80708,E,29.89218
361,3,N,13.80864,E,30.65883
363,3,N,13.81044,E,31.42547
379,3,N,13.45774,E,29.50959
380,3,N,13.45844,E,29.89297
381,3,N,13.45919,E,30.27636
382,3,N,13.46000,E,30.65975
383,3,N,13.46087,E,31.04314
384,3,N,13.46179,E,31.42652
385,3,N,13.46277,E,31.80991
403,3,N,13.11277,E,31.04412
404,3,N,13.11370,E,31.42757
405,3,N,13.11468,E,31.81102
419,3,N,12.76354,E,30.27808
420,3,N,12.76435,E,30.66160
421,3,N,12.76614,E,31.42862
520,4,N,12.58958,E,30.08674
521,4,N,12.59120,E,30.85383
784,4,N,12.76279,E,29.89457
801,4,N,12.41732,E,30.66252
1022,5,N,12.76522,E,31.04511
354,3,N,13.80416,E,27.97555
374,3,N,13.45511,E,27.59264
375,3,N,13.45552,E,27.97603
376,3,N,13.45599,E,28.35942
377,3,N,13.45652,E,28.74281
378,3,N,13.45710,E,29.12620
394,3,N,13.10702,E,27.59307
395,3,N,13.10743,E,27.97652
396,3,N,13.10790,E,28.35997
397,3,N,13.10843,E,28.74342
398,3,N,13.10901,E,29.12687
399,3,N,13.10965,E,29.51032
432,3,N,12.41209,E,27.21034
433,3,N,12.41244,E,27.59391
434,3,N,12.41285,E,27.97749
435,3,N,12.41332,E,28.36107
445,3,N,12.06592,E,27.59434
447,3,N,12.06680,E,28.36162
454,3,N,11.71989,E,27.59476
517,4,N,12.58758,E,28.93611
518,4,N,12.58819,E,29.31966
535,4,N,12.24025,E,28.55315
536,4,N,12.24080,E,28.93675
537,4,N,12.24141,E,29.32036
557,4,N,11.89348,E,28.17006
558,4,N,11.89398,E,28.55373
559,4,N,11.89453,E,28.93740
582,4,N,11.54687,E,27.40311
583,4,N,11.54725,E,27.78684
584,4,N,11.54769,E,28.17057
585,4,N,11.54819,E,28.55431
586,4,N,11.54874,E,28.93804
587,4,N,11.54934,E,29.32177
611,4,N,11.20156,E,27.40350
612,4,N,11.20194,E,27.78730
613,4,N,11.20237,E,28.17109
614,4,N,11.20287,E,28.55489
615,4,N,11.20342,E,28.93868
616,4,N,11.20402,E,29.32248
640,4,N,10.85670,E,27.40389
641,4,N,10.85708,E,27.78775
642,4,N,10.85751,E,28.17161
643,4,N,10.85801,E,28.55547
644,4,N,10.85856,E,28.93933
645,4,N,10.85916,E,29.32318
668,4,N,10.51266,E,27.78821
669,4,N,10.51310,E,28.17213
670,4,N,10.51359,E,28.55605
