"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0689","1","1","FSD","17","tree","COM/ACU","Combretum aculeatum","","","","","87.0","","","","6.0","","12.0","","11.0","","1.3","","","4.0","","3.0","","1","2","2","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","18","tree","","","","","","","114.0","","","","0.5","","27.0","","27.0","","","","","7.0","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","19","tree","ANO/LEI","Anogeissus leiocarpus","","","","","118.0","","","","1.0","","49.0","","50.0","","0.8","","","12.0","","1.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","20","tree","ANO/LEI","Anogeissus leiocarpus","","","","","118.0","","","","1.0","","28.0","","21.0","","1.0","","","10.0","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","21","tree","COM/ACU","Combretum aculeatum","","","","","124.0","","2.0","","","","22.0","","21.0","","0.9","","","9.0","","0.9","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","22","tree","","","","","","","135.0","","","","8.0","","37.0","","35.0","","1.0","","","10.0","","1.3","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","23","tree","ANO/LEI","Anogeissus leiocarpus","","","","","144.0","","2.0","","","","47.0","","45.0","","0.9","","","12.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","24","tree","ANO/LEI","Anogeissus leiocarpus","","","","","144.0","","2.0","","","","55.0","","55.0","","0.8","","","12.0","","1.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","25","tree","","","","","","","144.0","","5.0","","","","15.0","","13.0","","1.3","","","5.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0689","1","1","FSD","26","tree","SCL/BIR","Sclerocarya birrea","","","","","152.0","","3.0","","","","49.0","","45.0","","45.0","","","10.0","","4.0","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
